Date,Sales,prediction
2013-02-01,119,98.81345393965603
2013-05-01,121,103.7084757379489
2013-07-01,148,106.97182360347506
2013-08-01,148,108.60349753624178
2013-12-01,118,115.13019326729409
2014-04-01,135,133.8971567736371
2014-06-01,149,137.16050463917054
2014-07-01,170,138.79217857192998
2014-11-01,114,145.31887430298957
2015-01-01,145,160.82248994379916
2015-02-01,150,162.4541638765586
2015-04-01,163,165.71751174208475
2015-10-01,162,175.5075553386705
2016-01-01,172,192.64284491225408
2016-03-01,193,195.90619277778023
2016-04-01,181,197.53786671053967
2016-10-01,191,207.32791030712542
2016-11-01,173,208.95958423989214
2017-06-01,243,232.62156954452075
2017-07-01,264,234.2532434772802
2017-10-01,211,239.14826527557307
2018-05-01,234,262.81025058020896
2018-08-01,293,267.70527237850183
2018-10-01,229,270.968620244028
2018-11-01,203,272.6002941767947
2018-12-01,229,274.23196810955415
2019-01-01,242,288.1039098176043
2019-02-01,233,289.73558375036373
2019-08-01,347,299.5256273469495
2019-09-01,312,301.1573012797089
2019-10-01,274,302.78897521247563
2020-02-01,277,321.55593871881865
2020-06-01,374,328.08263444987824
2020-12-01,306,337.8726780464567
2021-01-01,315,351.74461975451413
2021-03-01,356,355.0079676200403
2021-05-01,355,358.27131548556645
2021-07-01,465,361.5346633510926
2021-08-01,467,363.1663372838593
2021-09-01,404,364.79801121661876
2022-01-01,340,383.5649747229618
2022-02-01,318,385.1966486557212
2022-10-01,359,398.2500401178331
2022-11-01,310,399.88171405059984
2023-01-01,360,415.3853296914167
2023-03-01,406,418.64867755694286
2023-07-01,548,425.17537328799517
2023-08-01,559,426.8070472207619
2023-09-01,463,428.4387211535213
2023-10-01,407,430.07039508628804
2023-11-01,362,431.70206901905476
2023-12-01,405,433.3337429518142
2024-01-01,417,447.20568465986435
2024-02-01,391,448.8373585926238
2024-04-01,461,452.10070645814994
2024-08-01,606,458.62740218920953
