Idade,Rotatividade,ViagensDeNegocio,Departamento,DistanciaDeCasa,Educacao,CampoDeEducacao,ContagemDeEmpregados,IDDoEmpregado,Genero,NivelDoCargo,Funcao,EstadoCivil,RendaMensal,NumeroDeEmpresas,MaiorDe18,AumentoPercentualSalario,HorasPadrao,NivelDeOpcaoDeCompraDeAcoes,TotalDeAnosTrabalhados,TreinamentosNoUltimoAno,AnosNaEmpresa,AnosDesdeUltimaPromocao,AnosComAtualGestor
51,Nao,Viagens_Raras,Vendas,6,2,Ciências da Vida,1,1,Feminino,1,Representante de Saúde,Casado(a),26232.0,1.0,Y,11,8,0,1.0,6,1,0,0
31,Sim,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,10,1,Ciências da Vida,1,2,Feminino,1,Cientista de Pesquisa,Solteiro(a),8378.0,0.0,Y,23,8,1,6.0,3,5,1,4
32,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,17,4,Outro,1,3,Masculino,4,Executivo de Vendas,Casado(a),38656.0,1.0,Y,15,8,3,5.0,2,5,0,3
38,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,2,5,Ciências da Vida,1,4,Masculino,3,Recursos Humanos,Casado(a),16642.0,3.0,Y,11,8,3,13.0,5,8,7,5
32,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,10,1,Médica,1,5,Masculino,1,Executivo de Vendas,Solteiro(a),4684.0,4.0,Y,12,8,2,9.0,2,6,0,4
46,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,3,Ciências da Vida,1,6,Feminino,4,Diretor de Pesquisa,Casado(a),8142.0,3.0,Y,13,8,0,28.0,5,7,7,7
28,Sim,Viagens_Raras,Pesquisa_e_Desenvolvimento,11,2,Médica,1,7,Masculino,2,Executivo de Vendas,Solteiro(a),11626.0,2.0,Y,20,8,1,5.0,2,0,0,0
29,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,18,3,Ciências da Vida,1,8,Masculino,2,Executivo de Vendas,Casado(a),6286.0,2.0,Y,22,8,3,10.0,2,0,0,0
31,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,9,Masculino,3,Técnico de Laboratório,Casado(a),4088.0,0.0,Y,21,8,0,10.0,2,9,7,8
25,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,7,4,Médica,1,10,Feminino,4,Técnico de Laboratório,Divorciado(a),26928.0,1.0,Y,13,8,1,6.0,2,6,1,5
45,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,17,2,Médica,1,11,Masculino,2,Técnico de Laboratório,Casado(a),15982.0,0.0,Y,13,8,2,21.0,2,20,4,10
36,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,28,1,Ciências da Vida,1,12,Masculino,1,Técnico de Laboratório,Casado(a),6754.0,0.0,Y,12,8,2,16.0,2,15,10,11
55,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,14,4,Ciências da Vida,1,13,Feminino,1,Executivo de Vendas,Solteiro(a),11076.0,0.0,Y,17,8,0,37.0,2,36,4,13
47,Sim,Nao_Viaja,Pesquisa_e_Desenvolvimento,1,1,Médica,1,14,Masculino,1,Cientista de Pesquisa,Casado(a),11524.0,1.0,Y,11,8,2,10.0,4,10,9,9
28,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,15,Masculino,1,Diretor de Manufatura,Casado(a),5184.0,1.0,Y,14,8,0,5.0,2,5,0,4
37,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,1,3,Ciências da Vida,1,16,Masculino,2,Representante de Saúde,Casado(a),10692.0,4.0,Y,11,8,0,7.0,2,5,0,1
21,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,3,2,Ciências da Vida,1,17,Masculino,1,Técnico de Laboratório,Solteiro(a),8426.0,1.0,Y,12,8,3,3.0,3,3,1,0
37,Nao,Nao_Viaja,Pesquisa_e_Desenvolvimento,1,3,Médica,1,18,Masculino,2,Executivo de Vendas,Divorciado(a),8254.0,2.0,Y,13,8,1,15.0,2,5,0,2
35,Nao,Viagens_Raras,Vendas,7,4,Ciências da Vida,1,19,Masculino,1,Representante de Vendas,Divorciado(a),4876.0,7.0,Y,16,8,0,10.0,5,7,6,2
38,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,8,3,Ciências da Vida,1,20,Feminino,1,Gerente,Divorciado(a),13740.0,1.0,Y,11,8,1,8.0,5,8,7,7
26,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,1,4,Outro,1,21,Masculino,2,Técnico de Laboratório,Divorciado(a),20894.0,1.0,Y,18,8,0,6.0,3,6,1,4
50,Nao,Viagens_Raras,Vendas,8,4,Ciências da Vida,1,22,Masculino,1,Cientista de Pesquisa,Divorciado(a),19334.0,3.0,Y,23,8,0,28.0,2,10,1,6
53,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,11,4,Ciências da Vida,1,23,Feminino,2,Cientista de Pesquisa,Casado(a),4296.0,3.0,Y,11,8,0,21.0,2,5,1,3
42,Nao,Viagens_Raras,Pesquisa_e_Desenvolvimento,4,4,Ciências da Vida,1,24,Masculino,1,Diretor de Manufatura,Casado(a),17852.0,1.0,Y,14,8,0,,4,20,11,6
29,Nao,Viagens_Frequentes,Pesquisa_e_Desenvolvimento,16,4,Médica,1,25,Masculino,1,Técnico de Laboratório,Solteiro(a),13026.0,1.0,Y,11,8,1,10.0,2,10,0,9
